URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_13.39.38,1.5818,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_13.39.41,1.5307,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_13.39.43,1.8300,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_13.39.46,1.9865,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_13.39.49,2.8673,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_13.39.53,2.4011,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_13.39.57,3.1987,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_13.40.01,3.3300,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_13.40.05,1.8772,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_13.40.08,1.8354,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_13.40.11,2.3199,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_13.40.15,3.1848,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_13.40.19,4.5067,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_13.40.24,4.9606,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_13.40.30,8.5052,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_13.40.40,11.1795,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_13.40.52,9.4811,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_13.41.03,8.5561,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_13.41.12,8.7138,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_13.41.22,8.8600,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_13.41.32,9.8886,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_13.41.43,10.5127,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_13.41.55,11.5371,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_13.42.07,11.2840,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_13.42.20,6.5165,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_13.42.27,6.3994,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_13.42.35,7.0874,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_13.42.43,7.8098,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_13.42.52,10.2719,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_13.43.03,9.8963,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_13.43.14,13.6101,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_13.43.29,17.3574,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_13.43.47,4.3998,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_13.43.53,4.2753,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_13.43.58,4.5059,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_13.44.03,4.9066,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_13.44.11,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_13.44.13,9.1113,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_13.44.23,8.2906,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_13.44.32,8.6890,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_13.44.42,7.7605,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_13.44.51,0.7816,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_13.44.54,1.9845,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_13.45.02,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_13.45.12,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_13.45.21,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_13.45.30,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_13.45.40,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_13.45.43,1.5318,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_13.45.44,1.5526,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_13.45.46,1.5762,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_13.45.48,1.4640,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_13.45.49,1.4777,
