URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_16.59.13,1.7125,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_16.59.16,1.6482,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_16.59.18,1.8857,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_16.59.21,2.0742,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_16.59.25,2.4981,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_16.59.28,2.3510,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_16.59.32,3.1590,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_16.59.36,3.3691,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_16.59.40,1.6431,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_16.59.43,1.6422,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_16.59.46,2.2248,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_16.59.49,3.1365,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_16.59.53,4.5459,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_16.59.59,4.8211,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_17.00.05,8.4932,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_17.00.14,10.2228,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_17.00.25,9.3419,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_17.00.36,8.9207,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_17.00.46,8.8937,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_17.00.56,9.4271,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_17.01.06,10.3505,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_17.01.18,10.4899,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_17.01.29,11.9252,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_17.01.42,12.2212,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_17.01.56,7.2972,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_17.02.04,7.2686,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_17.02.12,7.1776,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_17.02.21,8.2518,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_17.02.30,11.1773,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_17.02.42,11.1932,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_17.02.54,14.5022,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_17.03.10,16.8702,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_17.03.28,4.7188,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_17.03.34,4.9313,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_17.03.40,4.6709,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_17.03.45,4.4917,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_17.03.53,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_17.03.55,8.3927,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_17.04.04,8.3329,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_17.04.14,8.6483,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_17.04.24,7.9775,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_17.04.33,0.7490,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_17.04.35,2.0959,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_17.04.44,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_17.04.53,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_17.05.03,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_17.05.12,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_17.05.21,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_17.05.25,1.4907,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_17.05.26,1.6353,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_17.05.28,1.5827,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_17.05.29,1.4446,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_17.05.31,2.0637,
