URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_13.58.15,1.6133,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_13.58.18,1.5084,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_13.58.20,1.7778,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_13.58.23,2.4645,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_13.58.27,2.4525,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_13.58.30,2.3441,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_13.58.34,3.1813,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_13.58.38,3.6473,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_13.58.43,1.8286,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_13.58.46,1.6803,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_13.58.48,2.3983,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_13.58.52,3.8238,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_13.58.57,4.7400,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_13.59.02,4.2818,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_13.59.08,7.8539,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_13.59.17,9.9042,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_13.59.28,9.3812,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_13.59.38,8.4903,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_13.59.48,8.6151,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_13.59.57,8.9698,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_14.00.07,10.0805,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_14.00.19,10.2399,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_14.00.30,11.3424,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_14.00.42,11.9473,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_14.00.55,6.7483,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_14.01.03,6.5040,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_14.01.11,6.9410,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_14.01.19,7.7159,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_14.01.27,10.4360,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_14.01.39,9.9996,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_14.01.50,14.9402,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_14.02.06,15.5605,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_14.02.23,4.3905,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_14.02.28,4.5097,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_14.02.34,4.4567,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_14.02.39,4.6243,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_14.02.46,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_14.02.48,8.3736,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_14.02.58,8.4498,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_14.03.07,9.4545,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_14.03.18,8.0717,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_14.03.27,0.7113,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_14.03.30,2.0510,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_14.03.38,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_14.03.47,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_14.03.57,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_14.04.06,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_14.04.16,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_14.04.19,1.4810,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_14.04.20,1.5690,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_14.04.22,1.5287,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_14.04.23,1.4780,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_14.04.25,1.4642,
