URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_19.17.14,1.6585,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_19.17.17,1.5579,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_19.17.20,1.7068,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_19.17.22,1.8480,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_19.17.25,2.3324,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_19.17.29,2.3660,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_19.17.32,2.9597,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_19.17.36,4.0689,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_19.17.41,1.7912,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_19.17.44,1.7469,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_19.17.47,2.4465,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_19.17.50,3.3069,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_19.17.55,4.6345,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_19.18.01,4.5090,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_19.18.06,8.7756,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_19.18.16,10.9443,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_19.18.28,8.9073,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_19.18.38,8.6960,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_19.18.48,8.7194,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_19.18.57,8.7079,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_19.19.07,10.1968,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_19.19.19,9.5794,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_19.19.29,11.1004,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_19.19.41,11.6421,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_19.19.54,6.9064,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_19.20.02,6.9330,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_19.20.10,7.2872,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_19.20.18,7.8178,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_19.20.27,10.3634,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_19.20.39,10.5639,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_19.20.50,13.8834,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_19.21.05,16.0987,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_19.21.22,4.3797,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_19.21.28,4.9659,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_19.21.34,5.1333,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_19.21.40,4.6813,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_19.21.48,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_19.21.49,8.6635,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_19.21.59,8.3856,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_19.22.09,8.8408,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_19.22.19,8.0436,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_19.22.28,0.7530,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_19.22.31,2.1229,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_19.22.39,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_19.22.48,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_19.22.58,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_19.23.07,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_19.23.17,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_19.23.20,1.4907,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_19.23.21,1.6070,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_19.23.23,1.6162,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_19.23.24,1.4721,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_19.23.26,2.1182,
