URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_14.16.51,1.5637,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_14.16.53,1.5108,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_14.16.56,1.7666,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_14.16.59,2.2962,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_14.17.02,2.4616,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_14.17.06,2.4619,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_14.17.09,3.2183,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_14.17.13,3.4997,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_14.17.18,1.7787,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_14.17.21,1.6995,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_14.17.24,2.3807,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_14.17.27,3.2148,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_14.17.31,4.7201,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_14.17.37,4.2732,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_14.17.43,8.5373,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_14.17.52,10.9511,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_14.18.04,9.1676,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_14.18.14,9.1204,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_14.18.25,8.6327,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_14.18.34,10.1233,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_14.18.45,10.1423,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_14.18.57,9.7973,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_14.19.08,11.1236,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_14.19.20,11.2441,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_14.19.32,6.5631,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_14.19.40,6.5073,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_14.19.47,6.9312,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_14.19.55,7.8677,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_14.20.04,9.9539,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_14.20.15,10.4537,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_14.20.27,13.9746,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_14.20.42,15.3376,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_14.20.58,4.4994,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_14.21.04,4.6683,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_14.21.09,4.8013,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_14.21.15,4.5543,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_14.21.23,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_14.21.24,8.2625,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_14.21.34,7.9532,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_14.21.43,8.7585,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_14.21.53,7.8423,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_14.22.02,0.8066,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_14.22.04,1.9673,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_14.22.13,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_14.22.22,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_14.22.31,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_14.22.41,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_14.22.50,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_14.22.53,1.4370,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_14.22.55,1.5948,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_14.22.56,2.0242,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_14.22.58,1.4643,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_14.23.00,1.5414,
