URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_13.33.22,1.5805,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_13.33.25,1.5329,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_13.33.27,1.7405,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_13.33.30,1.9787,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_13.33.33,2.4883,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_13.33.37,2.4162,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_13.33.40,3.4664,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_13.33.45,3.7772,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_13.33.49,1.6199,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_13.33.52,1.6466,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_13.33.55,2.1232,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_13.33.58,3.3904,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_13.34.02,4.5512,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_13.34.08,4.8842,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_13.34.14,8.0986,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_13.34.23,11.7916,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_13.34.36,9.2539,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_13.34.46,8.4693,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_13.34.56,8.6193,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_13.35.06,8.6772,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_13.35.15,9.7206,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_13.35.26,9.8054,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_13.35.37,11.8214,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_13.35.50,11.6642,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_13.36.03,6.8174,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_13.36.10,6.5511,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_13.36.18,7.6060,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_13.36.27,7.4598,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_13.36.35,9.8217,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_13.36.46,9.8268,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_13.36.57,15.4948,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_13.37.14,16.9688,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_13.37.32,4.4025,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_13.37.37,4.4282,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_13.37.43,4.8572,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_13.37.49,4.6862,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_13.37.56,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_13.37.58,8.4292,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_13.38.08,8.3104,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_13.38.17,8.7359,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_13.38.27,8.1039,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_13.38.36,0.7179,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_13.38.39,1.8915,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_13.38.47,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_13.38.56,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_13.39.06,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_13.39.15,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_13.39.24,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_13.39.28,1.5934,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_13.39.29,1.6134,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_13.39.31,1.5837,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_13.39.32,1.4496,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_13.39.34,1.4503,
