URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_22.12.11,1.6661,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_22.12.14,1.5859,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_22.12.17,1.7231,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_22.12.19,1.9084,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_22.12.22,2.5594,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_22.12.26,2.5358,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_22.12.30,3.5704,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_22.12.34,3.4987,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_22.12.39,1.7755,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_22.12.42,1.7921,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_22.12.44,2.2697,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_22.12.48,3.2046,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_22.12.52,4.6448,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_22.12.58,4.5937,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_22.13.03,8.4973,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_22.13.13,10.0680,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_22.13.24,9.0579,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_22.13.34,9.2987,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_22.13.45,8.8813,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_22.13.55,8.8027,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_22.14.04,10.0691,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_22.14.16,10.0307,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_22.14.27,11.5575,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_22.14.39,11.6149,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_22.14.52,6.7886,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_22.15.00,6.9843,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_22.15.08,7.2169,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_22.15.16,7.8526,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_22.15.25,10.5980,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_22.15.37,9.8853,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_22.15.48,14.7948,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_22.16.04,16.3984,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_22.16.21,4.8013,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_22.16.27,4.5676,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_22.16.33,4.9731,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_22.16.39,5.1449,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_22.16.46,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_22.16.48,8.5708,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_22.16.58,8.4845,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_22.17.08,8.7843,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_22.17.17,7.7331,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_22.17.26,0.7985,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_22.17.29,2.0681,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_22.17.37,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_22.17.47,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_22.17.56,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_22.18.06,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_22.18.15,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_22.18.18,1.5154,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_22.18.20,1.6047,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_22.18.21,1.5698,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_22.18.23,1.9667,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_22.18.25,1.4554,
