URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_20.32.06,1.6054,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_20.32.08,1.5547,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_20.32.11,1.7244,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_20.32.14,1.9251,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_20.32.17,2.4364,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_20.32.20,2.3975,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_20.32.24,3.1498,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_20.32.28,3.5183,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_20.32.33,1.6693,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_20.32.35,1.6886,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_20.32.38,2.1803,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_20.32.41,3.8173,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_20.32.46,4.4693,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_20.32.52,4.2455,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_20.32.57,7.3722,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_20.33.05,10.2876,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_20.33.17,8.6572,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_20.33.27,8.2140,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_20.33.36,8.5403,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_20.33.45,8.6841,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_20.33.55,10.2990,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_20.34.07,10.3393,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_20.34.18,13.0009,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_20.34.32,12.6511,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_20.34.46,6.5393,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_20.34.53,6.7989,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_20.35.01,7.3336,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_20.35.10,7.3882,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_20.35.18,10.0084,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_20.35.29,10.0232,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_20.35.40,15.4660,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_20.35.57,16.6968,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_20.36.15,4.5955,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_20.36.21,4.3953,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_20.36.26,4.8145,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_20.36.32,4.4152,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_20.36.39,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_20.36.41,8.2016,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_20.36.50,8.1244,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_20.37.00,8.5145,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_20.37.09,7.8899,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_20.37.18,0.7769,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_20.37.21,1.9694,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_20.37.29,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_20.37.39,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_20.37.48,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_20.37.57,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_20.38.07,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_20.38.10,1.5522,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_20.38.11,1.5146,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_20.38.13,1.5320,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_20.38.15,1.4720,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_20.38.16,1.4879,
