URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_19.23.31,1.6310,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_19.23.33,1.5500,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_19.23.36,1.7338,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_19.23.39,1.9093,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_19.23.42,2.4190,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_19.23.45,2.3319,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_19.23.49,3.0544,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_19.23.53,3.3734,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_19.23.57,1.7262,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_19.24.00,1.6814,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_19.24.03,2.1591,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_19.24.06,3.4121,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_19.24.10,4.5376,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_19.24.16,4.4895,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_19.24.22,8.2175,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_19.24.31,10.7349,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_19.24.43,8.8167,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_19.24.52,8.5312,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_19.25.02,8.6004,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_19.25.12,8.7185,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_19.25.22,10.0756,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_19.25.33,9.9458,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_19.25.44,11.3998,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_19.25.56,11.6030,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_19.26.09,6.5737,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_19.26.17,6.5451,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_19.26.24,7.0400,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_19.26.32,7.3348,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_19.26.41,9.9792,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_19.26.52,10.4007,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_19.27.03,13.8239,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_19.27.18,16.0914,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_19.27.35,5.0066,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_19.27.41,4.4947,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_19.27.47,4.7023,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_19.27.53,4.4354,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_19.28.00,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_19.28.02,8.6303,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_19.28.12,8.4435,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_19.28.21,8.8636,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_19.28.31,7.9461,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_19.28.40,0.8089,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_19.28.43,2.1734,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_19.28.51,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_19.29.01,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_19.29.10,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_19.29.20,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_19.29.29,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_19.29.32,1.5120,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_19.29.34,1.6589,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_19.29.35,1.6005,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_19.29.37,1.4574,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_19.29.38,1.4696,
