URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_19.04.49,1.6293,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_19.04.52,1.5458,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_19.04.55,1.7007,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_19.04.57,1.9222,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_19.05.00,2.4261,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_19.05.04,2.2922,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_19.05.07,3.1959,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_19.05.11,3.5319,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_19.05.16,1.7300,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_19.05.19,1.7521,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_19.05.22,2.1500,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_19.05.25,3.1116,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_19.05.29,4.4895,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_19.05.35,4.5400,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_19.05.40,8.0774,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_19.05.49,10.4963,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_19.06.01,8.8713,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_19.06.11,8.2778,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_19.06.20,8.5640,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_19.06.30,8.6829,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_19.06.40,10.1542,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_19.06.51,9.7925,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_19.07.02,11.4097,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_19.07.14,11.8154,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_19.07.27,6.4050,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_19.07.35,6.3895,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_19.07.42,7.0068,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_19.07.50,7.5755,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_19.07.59,9.9821,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_19.08.10,10.5311,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_19.08.21,13.9175,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_19.08.36,16.3442,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_19.08.54,4.6309,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_19.08.59,4.6272,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_19.09.05,4.7145,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_19.09.11,4.5073,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_19.09.18,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_19.09.20,8.8654,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_19.09.30,8.3715,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_19.09.39,8.8626,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_19.09.49,8.3511,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_19.09.59,0.6382,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_19.10.01,2.1533,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_19.10.10,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_19.10.19,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_19.10.29,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_19.10.38,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_19.10.48,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_19.10.51,1.4991,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_19.10.52,1.5847,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_19.10.54,1.5723,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_19.10.55,1.5062,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_19.10.57,1.5099,
