URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_14.10.39,1.5585,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_14.10.41,1.5358,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_14.10.44,2.2423,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_14.10.47,2.0139,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_14.10.50,2.2820,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_14.10.54,2.3945,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_14.10.57,3.1226,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_14.11.01,3.6318,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_14.11.06,1.6330,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_14.11.09,1.7108,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_14.11.11,2.2504,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_14.11.15,3.1975,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_14.11.19,4.5035,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_14.11.24,4.5274,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_14.11.30,7.4534,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_14.11.39,9.8668,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_14.11.50,8.6276,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_14.11.59,8.4448,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_14.12.09,8.9796,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_14.12.19,8.9064,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_14.12.29,10.0357,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_14.12.40,9.7595,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_14.12.51,11.4142,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_14.13.03,11.9428,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_14.13.16,6.5869,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_14.13.24,6.5105,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_14.13.31,7.0713,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_14.13.40,7.4798,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_14.13.48,10.3956,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_14.14.00,10.2257,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_14.14.11,14.8324,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_14.14.27,16.5242,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_14.14.44,4.6250,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_14.14.50,4.4139,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_14.14.56,4.6150,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_14.15.01,4.3801,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_14.15.08,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_14.15.10,8.5643,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_14.15.20,8.9470,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_14.15.30,9.0939,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_14.15.40,7.9298,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_14.15.49,0.7625,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_14.15.52,1.9061,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_14.16.00,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_14.16.09,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_14.16.19,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_14.16.28,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_14.16.38,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_14.16.41,1.4522,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_14.16.42,1.5673,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_14.16.44,1.5317,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_14.16.45,1.4155,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_14.16.47,1.4979,
