URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_14.35.34,1.7019,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_14.35.37,1.5503,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_14.35.39,1.7796,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_14.35.42,2.1244,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_14.35.45,2.4512,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_14.35.49,2.3436,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_14.35.52,3.2617,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_14.35.57,3.3784,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_14.36.01,1.6366,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_14.36.04,1.6588,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_14.36.07,2.2439,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_14.36.10,3.1645,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_14.36.14,4.2734,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_14.36.19,4.3167,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_14.36.25,7.3810,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_14.36.33,10.6030,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_14.36.45,8.9130,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_14.36.55,8.3874,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_14.37.04,8.8827,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_14.37.14,8.8727,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_14.37.24,9.8033,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_14.37.35,9.9608,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_14.37.46,11.5021,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_14.37.59,11.8243,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_14.38.12,7.0138,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_14.38.20,6.8468,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_14.38.28,7.0259,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_14.38.36,7.5049,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_14.38.44,10.1663,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_14.38.56,10.1705,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_14.39.07,14.1854,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_14.39.22,15.6787,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_14.39.39,4.4924,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_14.39.44,4.3698,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_14.39.50,4.5914,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_14.39.55,4.2817,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_14.40.02,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_14.40.04,9.3074,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_14.40.15,8.4931,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_14.40.24,9.1025,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_14.40.35,8.1096,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_14.40.44,0.7715,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_14.40.47,2.0307,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_14.40.55,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_14.41.05,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_14.41.14,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_14.41.23,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_14.41.33,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_14.41.36,1.5059,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_14.41.37,1.5706,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_14.41.39,1.5419,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_14.41.41,1.8871,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_14.41.42,1.5097,
