URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_15.31.38,1.5232,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_15.31.40,1.5340,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_15.31.43,1.7370,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_15.31.46,2.0633,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_15.31.49,2.5428,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_15.31.52,2.8279,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_15.31.56,3.1614,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_15.32.01,3.8107,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_15.32.05,1.7755,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_15.32.08,1.8185,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_15.32.11,2.2438,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_15.32.14,3.2552,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_15.32.19,4.6101,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_15.32.24,4.9430,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_15.32.30,7.6863,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_15.32.39,10.2836,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_15.32.51,9.0708,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_15.33.01,8.9005,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_15.33.11,8.7666,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_15.33.20,8.8627,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_15.33.30,10.0934,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_15.33.42,10.0820,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_15.33.53,11.4274,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_15.34.05,11.6207,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_15.34.18,6.6858,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_15.34.26,6.5228,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_15.34.33,7.0210,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_15.34.41,7.5315,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_15.34.50,9.7785,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_15.35.01,9.9975,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_15.35.12,14.3631,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_15.35.27,15.5347,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_15.35.44,4.5492,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_15.35.50,4.5373,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_15.35.55,5.1425,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_15.36.01,4.4754,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_15.36.09,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_15.36.10,8.6651,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_15.36.20,8.5678,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_15.36.30,8.9666,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_15.36.40,8.1156,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_15.36.49,0.8270,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_15.36.52,1.9330,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_15.37.00,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_15.37.10,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_15.37.19,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_15.37.28,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_15.37.38,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_15.37.41,1.4756,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_15.37.42,1.5551,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_15.37.44,1.6152,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_15.37.46,1.4235,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_15.37.47,1.4354,
