URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_18.09.20,1.6069,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_18.09.23,1.6217,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_18.09.25,1.6695,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_18.09.28,2.0606,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_18.09.31,2.6857,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_18.09.35,2.5467,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_18.09.39,3.2661,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_18.09.43,3.6497,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_18.09.48,1.5918,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_18.09.50,1.5371,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_18.09.53,2.0497,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_18.09.56,3.1441,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_18.10.00,6.9874,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_18.10.08,5.7818,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_18.10.15,9.8629,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_18.10.26,12.6671,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_18.10.40,13.4156,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_18.10.54,11.7128,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_18.11.07,11.2000,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_18.11.19,12.7125,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_18.11.33,14.1055,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_18.11.48,13.8395,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_18.12.03,14.7651,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_18.12.19,17.6025,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_18.12.38,10.6904,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_18.12.50,10.6639,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_18.13.01,9.8919,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_18.13.12,15.8858,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_18.13.29,16.6899,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_18.13.47,17.5088,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_18.14.06,20.9453,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_18.14.28,34.7573,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_18.15.03,4.2279,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_18.15.09,4.0910,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_18.15.14,4.2531,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_18.15.19,4.1486,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_18.15.24,4.3988,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_18.15.30,10.8054,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_18.15.42,10.2279,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_18.15.53,9.5107,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_18.16.04,8.3247,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_18.16.13,0.7134,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_18.16.16,2.1719,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_18.16.24,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_18.16.34,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_18.16.43,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_18.16.52,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_18.17.02,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_18.17.05,1.5747,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_18.17.07,1.7492,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_18.17.08,1.6785,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_18.17.10,1.4895,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_18.17.11,1.5881,
