URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.13_05.02.54,1.7062,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.13_05.02.57,1.7128,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.13_05.03.00,1.8372,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.13_05.03.03,1.9498,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.13_05.03.06,2.5105,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.13_05.03.09,2.6682,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.13_05.03.13,3.2894,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.13_05.03.18,3.5677,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.13_05.03.22,1.6734,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.13_05.03.25,1.6340,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.13_05.03.28,2.2021,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.13_05.03.31,3.0912,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.13_05.03.35,5.1619,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.13_05.03.41,4.4815,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.13_05.03.47,8.0900,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.13_05.03.56,11.3187,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.13_05.04.08,8.8280,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.13_05.04.18,9.0628,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.13_05.04.28,8.5123,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.13_05.04.38,8.6985,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.13_05.04.48,10.2334,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.13_05.04.59,10.4378,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.13_05.05.11,11.1561,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.13_05.05.23,11.4471,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.13_05.05.35,6.3121,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.13_05.05.43,6.7594,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.13_05.05.51,6.8277,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.13_05.05.58,7.4206,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.13_05.06.07,10.1701,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.13_05.06.18,10.2319,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.13_05.06.29,14.7559,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.13_05.06.45,15.4462,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_05.07.02,4.2589,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_05.07.07,4.4631,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_05.07.13,4.3015,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_05.07.18,4.0830,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_05.07.23,4.3065,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_05.07.29,8.1969,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_05.07.38,8.2528,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_05.07.47,8.3555,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_05.07.57,8.0568,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_05.08.06,0.7506,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_05.08.09,1.7778,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_05.08.17,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_05.08.26,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_05.08.35,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_05.08.45,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_05.08.54,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_05.08.57,1.4885,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_05.08.59,1.5730,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_05.09.00,1.8358,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_05.09.02,1.4346,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_05.09.04,1.4260,
