URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_23.30.56,1.7247,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_23.30.59,1.7066,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_23.31.02,1.7760,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_23.31.05,1.9541,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_23.31.08,2.6785,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_23.31.12,2.6042,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_23.31.15,3.2763,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_23.31.20,3.5333,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_23.31.24,1.7059,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_23.31.27,1.6312,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_23.31.30,2.2218,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_23.31.33,2.9710,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_23.31.37,5.8812,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_23.31.44,5.2398,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_23.31.50,8.6080,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_23.32.00,10.2973,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_23.32.11,8.6973,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_23.32.21,8.3223,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_23.32.31,9.0255,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_23.32.41,8.7463,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_23.32.50,10.1037,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_23.33.02,10.2588,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_23.33.13,12.0924,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_23.33.26,11.5311,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_23.33.39,6.2909,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_23.33.46,6.0579,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_23.33.53,6.9317,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_23.34.01,7.1946,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_23.34.09,9.7095,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_23.34.20,10.2859,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_23.34.32,15.0739,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_23.34.48,16.1919,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_23.35.05,4.3609,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_23.35.10,4.1822,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_23.35.16,4.5554,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_23.35.21,4.2955,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_23.35.27,4.6274,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_23.35.32,8.0892,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_23.35.42,8.3152,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_23.35.51,8.2136,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_23.36.00,8.1629,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_23.36.09,0.7601,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_23.36.12,2.1008,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_23.36.21,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_23.36.30,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_23.36.39,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_23.36.49,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_23.36.58,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_23.37.01,1.9052,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_23.37.03,1.6066,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_23.37.05,1.5353,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_23.37.06,1.4779,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_23.37.08,1.5292,
