URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_21.26.16,1.5848,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_21.26.18,1.7447,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_21.26.21,1.7939,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_21.26.24,2.4086,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_21.26.27,2.3956,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_21.26.31,2.6095,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_21.26.34,3.0425,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_21.26.39,3.6364,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_21.26.43,1.7014,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_21.26.46,1.6750,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_21.26.49,2.1654,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_21.26.52,3.1597,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_21.26.56,5.1835,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_21.27.02,4.5136,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_21.27.08,8.2180,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_21.27.17,10.3867,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_21.27.29,8.9106,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_21.27.39,8.7747,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_21.27.49,8.6242,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_21.27.58,8.9108,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_21.28.08,10.1733,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_21.28.20,10.0517,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_21.28.31,11.4644,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_21.28.43,11.8345,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_21.28.56,6.3427,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_21.29.04,6.1127,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_21.29.11,6.9270,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_21.29.19,7.2637,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_21.29.27,10.3403,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_21.29.38,10.4794,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_21.29.50,14.8072,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_21.30.06,17.6024,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_21.30.25,4.0824,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_21.30.30,4.2486,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_21.30.35,4.3194,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_21.30.40,4.1189,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_21.30.46,4.4612,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_21.30.51,8.0161,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_21.31.00,8.2934,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_21.31.10,8.5987,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_21.31.19,7.4949,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_21.31.28,0.7303,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_21.31.31,1.9849,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_21.31.39,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_21.31.48,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_21.31.58,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_21.32.07,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_21.32.16,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_21.32.20,1.4320,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_21.32.21,1.9303,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_21.32.23,1.5031,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_21.32.24,1.4050,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_21.32.26,1.4336,
