URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.13_01.10.56,1.6194,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.13_01.10.59,1.6892,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.13_01.11.02,1.8517,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.13_01.11.04,1.9404,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.13_01.11.07,2.5063,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.13_01.11.11,2.5817,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.13_01.11.15,3.6690,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.13_01.11.19,3.3494,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.13_01.11.24,1.8334,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.13_01.11.27,1.6691,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.13_01.11.29,2.2511,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.13_01.11.33,3.0056,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.13_01.11.37,5.0630,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.13_01.11.43,4.4050,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.13_01.11.48,9.4562,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.13_01.11.59,11.5009,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.13_01.12.12,9.0898,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.13_01.12.22,8.7256,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.13_01.12.32,8.8881,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.13_01.12.41,8.7109,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.13_01.12.51,10.1312,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.13_01.13.02,10.3348,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.13_01.13.14,11.5850,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.13_01.13.27,11.8231,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.13_01.13.39,7.0229,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.13_01.13.48,6.6043,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.13_01.13.55,7.2102,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.13_01.14.03,7.5305,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.13_01.14.12,10.7737,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.13_01.14.24,10.8268,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.13_01.14.36,14.3893,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.13_01.14.52,18.2598,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_01.15.11,4.4242,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_01.15.16,4.5284,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_01.15.22,4.4559,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_01.15.28,4.2654,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_01.15.33,4.4844,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_01.15.38,8.1922,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_01.15.48,8.5320,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_01.15.57,9.6547,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_01.16.08,8.1381,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_01.16.17,0.7108,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_01.16.20,1.9740,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_01.16.28,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_01.16.38,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_01.16.47,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_01.16.57,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_01.17.06,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_01.17.09,1.4001,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_01.17.10,1.4852,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_01.17.12,1.5623,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_01.17.14,1.4113,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_01.17.15,1.4246,
