URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_20.36.05,1.8566,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_20.36.08,1.6232,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_20.36.10,1.7930,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_20.36.13,2.3833,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_20.36.17,2.4451,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_20.36.20,2.6255,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_20.36.24,3.3791,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_20.36.28,3.4498,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_20.36.33,1.6695,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_20.36.36,1.7025,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_20.36.38,2.2007,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_20.36.42,3.1248,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_20.36.46,4.9553,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_20.36.52,5.5747,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_20.36.58,8.4366,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_20.37.08,10.2877,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_20.37.19,10.2946,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_20.37.31,8.5191,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_20.37.40,9.7250,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_20.37.51,9.7005,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_20.38.02,10.0214,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_20.38.13,9.8854,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_20.38.24,11.5272,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_20.38.36,12.3163,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_20.38.50,7.1959,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_20.38.58,6.8483,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_20.39.06,6.9698,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_20.39.14,7.6960,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_20.39.23,10.6456,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_20.39.35,10.5531,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_20.39.46,14.7938,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_20.40.02,16.7210,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_20.40.20,4.4716,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_20.40.25,4.0605,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_20.40.30,4.6288,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_20.40.36,4.0792,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_20.40.41,4.5565,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_20.40.47,7.8528,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_20.40.56,7.8173,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_20.41.05,8.2861,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_20.41.14,7.8137,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_20.41.23,0.7789,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_20.41.26,1.9213,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_20.41.34,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_20.41.43,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_20.41.53,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_20.42.02,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_20.42.12,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_20.42.15,1.5199,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_20.42.16,1.9916,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_20.42.18,1.5709,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_20.42.20,1.4596,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_20.42.21,1.4293,
