URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_22.35.03,1.6307,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_22.35.05,1.6633,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_22.35.08,1.7367,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_22.35.11,2.1843,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_22.35.14,2.5688,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_22.35.18,2.7233,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_22.35.21,3.1751,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_22.35.26,3.3486,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_22.35.30,1.7206,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_22.35.33,1.5581,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_22.35.36,2.1862,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_22.35.39,3.0787,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_22.35.43,4.8467,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_22.35.49,4.2561,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_22.35.54,9.6823,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_22.36.05,9.8113,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_22.36.16,8.5336,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_22.36.25,8.1816,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_22.36.35,8.6916,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_22.36.44,8.6538,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_22.36.54,10.1221,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_22.37.05,10.0583,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_22.37.16,11.4355,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_22.37.29,11.7958,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_22.37.42,6.3975,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_22.37.49,6.4562,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_22.37.57,7.3325,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_22.38.05,7.5572,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_22.38.14,10.7787,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_22.38.26,10.2452,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_22.38.37,14.1684,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_22.38.52,15.2856,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_22.39.09,4.2195,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_22.39.14,4.4393,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_22.39.19,4.2618,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_22.39.25,4.2326,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_22.39.30,4.4305,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_22.39.36,8.1892,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_22.39.45,7.9464,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_22.39.54,8.7476,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_22.40.04,7.5909,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_22.40.12,0.6758,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_22.40.15,1.7931,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_22.40.23,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_22.40.33,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_22.40.42,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_22.40.51,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_22.41.01,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_22.41.04,1.4730,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_22.41.05,1.5503,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_22.41.07,1.5484,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_22.41.08,1.3949,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_22.41.10,1.4279,
