URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_23.55.58,1.6713,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_23.56.01,1.6104,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_23.56.03,1.8770,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_23.56.06,2.0741,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_23.56.09,2.6286,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_23.56.13,2.4557,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_23.56.17,3.2668,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_23.56.21,3.8100,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_23.56.26,1.9642,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_23.56.29,1.7283,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_23.56.32,2.2310,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_23.56.35,3.2044,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_23.56.39,4.9444,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_23.56.45,4.2761,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_23.56.51,8.3713,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_23.57.00,11.5565,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_23.57.13,9.0753,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_23.57.23,8.4862,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_23.57.32,8.9461,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_23.57.42,8.7799,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_23.57.52,10.3622,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_23.58.04,10.2274,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_23.58.15,11.4119,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_23.58.28,11.5620,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_23.58.40,6.6578,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_23.58.48,6.1270,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_23.58.55,6.7009,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_23.59.03,7.3738,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_23.59.11,9.8766,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_23.59.22,10.2536,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_23.59.34,14.2411,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_23.59.49,15.3247,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_00.00.05,4.6196,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_00.00.11,4.1616,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_00.00.16,4.3577,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_00.00.22,4.4949,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_00.00.27,4.3786,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_00.00.33,8.6599,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_00.00.42,7.8296,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_00.00.51,8.2017,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_00.01.01,7.5770,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_00.01.09,0.7383,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_00.01.12,1.8487,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_00.01.20,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_00.01.29,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_00.01.39,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_00.01.48,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_00.01.58,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_00.02.01,1.4496,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_00.02.02,1.5507,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_00.02.04,1.4506,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_00.02.05,1.4114,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_00.02.07,1.4067,
