URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.13_02.38.40,1.7284,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.13_02.38.43,1.6371,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.13_02.38.45,1.8925,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.13_02.38.48,1.9265,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.13_02.38.51,2.6062,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.13_02.38.55,2.5990,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.13_02.38.59,3.2198,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.13_02.39.03,3.5081,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.13_02.39.08,1.7164,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.13_02.39.10,1.7068,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.13_02.39.13,2.1514,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.13_02.39.16,3.1428,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.13_02.39.20,4.7945,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.13_02.39.26,5.3210,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.13_02.39.33,9.8272,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.13_02.39.44,11.3026,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.13_02.39.56,9.4372,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.13_02.40.07,8.6882,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.13_02.40.16,8.7429,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.13_02.40.26,9.2761,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.13_02.40.36,10.6225,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.13_02.40.48,10.0612,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.13_02.40.59,11.5171,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.13_02.41.12,11.6122,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.13_02.41.25,6.3399,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.13_02.41.32,6.4112,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.13_02.41.39,6.8818,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.13_02.41.47,7.4022,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.13_02.41.56,10.0810,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.13_02.42.07,10.0573,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.13_02.42.18,14.1384,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.13_02.42.33,15.5877,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_02.42.50,4.4892,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_02.42.56,4.1671,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_02.43.01,4.1549,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_02.43.06,4.1230,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_02.43.11,4.7138,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_02.43.17,7.9779,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_02.43.26,7.9838,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_02.43.35,8.3628,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_02.43.45,7.7325,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_02.43.53,0.7306,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_02.43.56,1.8260,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_02.44.04,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_02.44.14,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_02.44.23,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_02.44.32,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_02.44.42,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_02.44.45,1.4639,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_02.44.46,1.5345,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_02.44.48,1.5355,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_02.44.49,1.3954,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_02.44.51,1.4070,
