URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.13_02.07.15,1.6379,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.13_02.07.18,1.6295,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.13_02.07.21,1.7891,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.13_02.07.24,1.8052,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.13_02.07.26,2.4761,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.13_02.07.30,2.5028,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.13_02.07.34,3.3146,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.13_02.07.38,3.8356,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.13_02.07.43,1.7155,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.13_02.07.46,1.6579,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.13_02.07.48,2.3598,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.13_02.07.52,3.1150,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.13_02.07.56,4.8927,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.13_02.08.02,5.1642,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.13_02.08.08,8.4624,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.13_02.08.18,10.5580,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.13_02.08.29,9.0590,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.13_02.08.39,8.9156,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.13_02.08.49,8.8902,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.13_02.08.59,8.5203,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.13_02.09.09,9.8731,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.13_02.09.20,9.6885,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.13_02.09.31,11.3422,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.13_02.09.43,12.1633,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.13_02.09.56,6.6874,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.13_02.10.04,6.3497,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.13_02.10.12,6.9828,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.13_02.10.20,7.4697,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.13_02.10.28,11.4372,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.13_02.10.41,10.0785,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.13_02.10.52,15.4285,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.13_02.11.08,17.8329,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_02.11.27,4.4360,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_02.11.33,4.1401,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_02.11.38,4.5956,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_02.11.44,4.4218,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_02.11.49,4.3516,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_02.11.54,8.7336,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_02.12.04,8.2015,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_02.12.14,9.1639,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_02.12.24,7.7683,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_02.12.33,0.7414,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_02.12.35,2.1098,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_02.12.44,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_02.12.53,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_02.13.03,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_02.13.12,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_02.13.21,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_02.13.25,1.5526,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_02.13.26,1.5916,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_02.13.28,1.4949,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_02.13.29,1.4177,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_02.13.31,1.4396,
