URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.11_14.51.17,1.7520,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.11_14.51.20,1.7281,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.11_14.51.23,1.7640,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.11_14.51.26,1.8899,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.11_14.51.29,3.3525,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.11_14.51.33,2.7755,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.11_14.51.37,3.6478,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.11_14.51.42,3.7885,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.11_14.51.46,1.4756,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.11_14.51.49,1.8012,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.11_14.51.52,2.0904,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.11_14.51.55,3.0934,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.11_14.51.59,6.0704,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.11_14.52.06,6.4120,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.11_14.52.14,9.2907,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.11_14.52.24,11.3722,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.11_14.52.37,13.2998,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.11_14.52.51,12.7702,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.11_14.53.05,11.8161,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.11_14.53.18,12.4340,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.11_14.53.31,13.5377,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.11_14.53.46,12.9681,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.11_14.54.00,15.0005,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.11_14.54.16,15.0827,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.11_14.54.32,9.2049,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.11_14.54.42,9.4418,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.11_14.54.53,9.9491,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.11_14.55.04,11.0418,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.11_14.55.16,15.1006,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.11_14.55.32,14.9836,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.11_14.55.48,24.3003,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.11_14.56.14,25.0249,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.11_14.56.40,4.0771,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.11_14.56.45,4.0629,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.11_14.56.50,4.5370,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.11_14.56.56,4.1326,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.11_14.57.01,4.5131,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.11_14.57.06,10.2572,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.11_14.57.18,9.1540,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.11_14.57.28,9.1124,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.11_14.57.38,8.4134,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.11_14.57.48,0.8169,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.11_14.57.51,2.8670,
10.45.20.125:8443,observation,[10939390],,,2023.12.11_14.58.00,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.11_14.58.09,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.11_14.58.18,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.11_14.58.28,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.11_14.58.37,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.11_14.58.40,1.4801,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.11_14.58.42,1.5859,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.11_14.58.43,1.5747,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.11_14.58.45,1.4911,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.11_14.58.46,1.4790,
