URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_19.18.43,1.5759,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_19.18.46,1.6219,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_19.18.49,1.7933,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_19.18.51,1.9336,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_19.18.54,2.8372,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_19.18.58,3.0108,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_19.19.02,4.2682,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_19.19.08,3.5366,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_19.19.12,1.6758,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_19.19.15,1.6069,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_19.19.18,2.1580,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_19.19.21,3.0065,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_19.19.25,6.1071,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_19.19.32,5.3370,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_19.19.39,10.8468,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_19.19.51,11.8919,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_19.20.04,13.0407,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_19.20.18,13.0688,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_19.20.32,12.8435,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_19.20.46,12.4846,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_19.20.59,13.0606,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_19.21.13,11.1467,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_19.21.26,11.9783,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_19.21.39,13.0995,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_19.21.53,7.4003,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_19.22.01,7.6403,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_19.22.10,7.7537,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_19.22.19,8.5029,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_19.22.28,11.5566,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_19.22.41,10.6942,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_19.22.53,14.5624,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_19.23.08,17.0742,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_19.23.27,4.3922,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_19.23.32,3.9971,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_19.23.37,4.2545,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_19.23.42,4.0321,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_19.23.47,4.6344,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_19.23.53,7.9807,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_19.24.02,8.3878,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_19.24.12,8.7921,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_19.24.22,8.0031,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_19.24.31,0.6755,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_19.24.33,2.0136,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_19.24.42,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_19.24.51,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_19.25.00,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_19.25.10,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_19.25.19,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_19.25.22,1.4588,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_19.25.24,1.5704,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_19.25.25,1.5294,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_19.25.27,1.4418,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_19.25.28,1.4374,
