URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.13_05.09.08,1.6918,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.13_05.09.10,1.7013,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.13_05.09.13,1.7459,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.13_05.09.16,2.0320,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.13_05.09.19,2.5073,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.13_05.09.23,2.4717,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.13_05.09.26,3.2234,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.13_05.09.31,3.5438,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.13_05.09.35,1.6074,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.13_05.09.38,1.9218,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.13_05.09.41,2.2347,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.13_05.09.44,3.4388,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.13_05.09.49,4.6466,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.13_05.09.54,5.5885,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.13_05.10.01,8.1222,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.13_05.10.10,11.0843,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.13_05.10.22,8.9055,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.13_05.10.32,8.5524,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.13_05.10.42,8.6615,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.13_05.10.52,9.3082,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.13_05.11.02,10.2489,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.13_05.11.13,10.5140,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.13_05.11.25,11.5788,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.13_05.11.38,11.9094,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.13_05.11.51,6.3635,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.13_05.11.58,6.6406,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.13_05.12.06,6.7441,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.13_05.12.14,7.2629,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.13_05.12.22,10.2690,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.13_05.12.33,9.9339,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.13_05.12.44,16.8441,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.13_05.13.02,15.9701,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.13_05.13.19,4.2118,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.13_05.13.25,4.6327,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.13_05.13.30,4.1715,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.13_05.13.35,4.0092,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.13_05.13.41,4.3974,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.13_05.13.46,8.9399,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.13_05.13.56,8.7391,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.13_05.14.06,8.6726,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.13_05.14.16,7.5914,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.13_05.14.24,0.7890,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.13_05.14.27,1.8627,
10.45.20.125:8443,observation,[10939390],,,2023.12.13_05.14.35,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.13_05.14.45,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.13_05.14.54,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.13_05.15.03,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.13_05.15.13,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.13_05.15.16,1.4601,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.13_05.15.17,1.8429,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.13_05.15.19,1.5218,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.13_05.15.21,1.4182,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.13_05.15.22,1.4543,
