URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_20.10.20,1.7363,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_20.10.23,1.8558,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_20.10.26,1.8744,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_20.10.29,2.0489,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_20.10.32,2.7007,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_20.10.36,2.4709,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_20.10.39,3.1862,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_20.10.44,3.4465,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_20.10.48,1.7533,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_20.10.51,1.7101,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_20.10.54,2.3314,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_20.10.57,3.1633,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_20.11.01,5.0008,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_20.11.07,5.3263,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_20.11.14,8.5794,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_20.11.23,10.6791,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_20.11.35,15.5071,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_20.11.52,10.7527,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_20.12.04,10.8333,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_20.12.16,9.5514,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_20.12.26,11.0610,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_20.12.38,10.5788,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_20.12.50,11.8873,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_20.13.03,11.4482,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_20.13.15,6.5054,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_20.13.23,6.7804,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_20.13.31,7.0220,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_20.13.39,7.7321,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_20.13.48,10.3979,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_20.13.59,10.8720,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_20.14.11,14.4212,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_20.14.27,17.5834,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_20.14.45,4.2977,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_20.14.51,4.3473,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_20.14.56,4.4962,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_20.15.02,4.1790,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_20.15.07,4.8359,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_20.15.13,8.3078,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_20.15.22,8.2525,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_20.15.32,8.5437,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_20.15.41,7.7238,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_20.15.50,0.7955,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_20.15.53,1.8926,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_20.16.01,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_20.16.10,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_20.16.20,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_20.16.29,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_20.16.39,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_20.16.42,1.5267,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_20.16.43,1.9806,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_20.16.45,1.5804,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_20.16.47,1.4691,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_20.16.48,1.4485,
