URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_23.49.40,1.6658,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_23.49.43,1.5733,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_23.49.46,1.7810,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_23.49.49,2.0284,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_23.49.52,2.5681,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_23.49.55,2.5342,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_23.49.59,3.1731,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_23.50.03,3.4277,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_23.50.08,1.7235,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_23.50.11,1.9441,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_23.50.14,2.3508,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_23.50.17,3.4864,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_23.50.22,5.6419,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_23.50.28,4.7749,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_23.50.34,8.3522,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_23.50.44,10.9940,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_23.50.56,8.7955,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_23.51.05,8.4151,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_23.51.15,8.5921,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_23.51.25,8.7541,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_23.51.34,10.1975,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_23.51.46,9.6687,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_23.51.56,11.0947,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_23.52.09,12.1655,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_23.52.22,6.7263,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_23.52.30,6.3829,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_23.52.37,7.0397,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_23.52.45,7.2401,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_23.52.54,10.5727,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_23.53.05,10.8671,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_23.53.17,14.4732,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_23.53.33,16.2765,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_23.53.50,4.3336,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_23.53.55,4.2355,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_23.54.01,4.8438,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_23.54.07,4.0943,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_23.54.12,4.4212,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_23.54.17,8.4112,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_23.54.27,8.6772,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_23.54.37,8.7584,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_23.54.46,7.8425,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_23.54.55,0.8202,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_23.54.58,2.1191,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_23.55.07,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_23.55.16,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_23.55.25,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_23.55.35,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_23.55.44,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_23.55.47,1.4695,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_23.55.49,1.6006,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_23.55.50,1.5698,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_23.55.52,1.8803,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_23.55.54,1.4752,
