URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_20.03.56,1.7418,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_20.03.59,1.6054,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_20.04.01,1.7544,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_20.04.04,1.9024,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_20.04.07,2.4947,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_20.04.11,2.4387,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_20.04.14,3.2326,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_20.04.19,3.3383,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_20.04.23,1.6776,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_20.04.26,1.6241,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_20.04.28,2.2126,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_20.04.32,3.0187,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_20.04.36,4.8102,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_20.04.42,4.3432,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_20.04.47,7.9598,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_20.04.56,9.9645,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_20.05.07,12.8455,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_20.05.21,10.6266,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_20.05.33,10.8121,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_20.05.45,9.4509,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_20.05.55,11.1961,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_20.06.07,11.1095,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_20.06.20,12.4305,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_20.06.33,11.6548,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_20.06.46,6.6715,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_20.06.54,6.6785,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_20.07.01,6.9381,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_20.07.09,7.8428,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_20.07.18,10.4198,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_20.07.30,10.1638,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_20.07.41,14.7302,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_20.07.57,16.6084,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_20.08.14,4.2333,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_20.08.20,4.0453,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_20.08.25,4.3544,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_20.08.30,4.0733,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_20.08.35,4.3788,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_20.08.41,7.9515,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_20.08.50,8.2502,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_20.08.59,8.8415,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_20.09.09,7.5658,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_20.09.18,0.8039,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_20.09.21,1.8033,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_20.09.29,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_20.09.38,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_20.09.47,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_20.09.57,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_20.10.06,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_20.10.09,1.4972,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_20.10.11,1.6536,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_20.10.13,1.6008,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_20.10.14,1.7935,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_20.10.16,1.5551,
