URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.12_22.10.14,1.5766,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.12_22.10.16,1.6013,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.12_22.10.19,1.6850,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.12_22.10.22,1.9144,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.12_22.10.25,2.3563,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.12_22.10.28,2.3654,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.12_22.10.32,3.1365,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.12_22.10.36,3.3104,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.12_22.10.40,1.6111,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.12_22.10.43,1.5565,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.12_22.10.46,2.1217,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.12_22.10.49,3.2562,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.12_22.10.53,4.4260,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.12_22.10.59,4.3878,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.12_22.11.04,8.5536,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.12_22.11.14,10.6253,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.12_22.11.26,9.1558,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.12_22.11.36,8.7237,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.12_22.11.46,8.5463,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.12_22.11.55,8.6355,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.12_22.12.05,10.6030,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.12_22.12.17,10.3178,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.12_22.12.28,11.4985,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.12_22.12.41,11.5502,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.12_22.12.53,6.3769,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.12_22.13.01,6.1003,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.12_22.13.08,6.5798,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.12_22.13.15,7.7324,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.12_22.13.24,10.0282,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.12_22.13.35,10.0369,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.12_22.13.46,14.4111,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.12_22.14.02,15.8624,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.12_22.14.19,4.1968,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.12_22.14.24,4.2630,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.12_22.14.29,4.2801,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.12_22.14.35,4.3220,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.12_22.14.40,4.6181,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.12_22.14.46,8.6220,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.12_22.14.56,8.3361,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.12_22.15.05,8.6070,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.12_22.15.15,7.5824,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.12_22.15.23,0.7200,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.12_22.15.26,1.7493,
10.45.20.125:8443,observation,[10939390],,,2023.12.12_22.15.34,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.12_22.15.44,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.12_22.15.53,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.12_22.16.02,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.12_22.16.12,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.12_22.16.15,1.5053,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.12_22.16.16,1.5544,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.12_22.16.18,1.5995,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.12_22.16.20,1.4583,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.12_22.16.21,1.4382,
