,Version,Test,Dataset,Variable,Response Time (s)
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.56
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,15.9363
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,17.0813
32,3.10.5,area,giops_day,votemper,4.1723
33,3.10.5,area,giops_day,vosaline,4.3184
34,3.10.5,area,giops_day,sspeed,4.1573
35,3.10.5,area,giops_day,magwatervel,4.1181
37,3.10.5,area,riops_fc_3dps,votemper,7.9959
38,3.10.5,area,riops_fc_3dps,vosaline,8.2368
39,3.10.5,area,riops_fc_3dps,sspeed,8.3024
40,3.10.5,area,riops_fc_3dps,magwatervel,8.4207
41,3.10.5,subset,giops_day,votemper,0.704
42,3.10.5,subset,riops_fc_3dps,votemper,1.8381
0,3.10.5,profile,giops_day,votemper,1.659
1,3.10.5,profile,giops_day,vosaline,1.6342
2,3.10.5,profile,giops_day,sspeed,1.7716
3,3.10.5,profile,giops_day,magwatervel,1.9587
4,3.10.5,profile,riops_fc_3dps,votemper,2.7863
5,3.10.5,profile,riops_fc_3dps,vosaline,2.6116
6,3.10.5,profile,riops_fc_3dps,sspeed,3.3092
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.6018
8,3.10.5,virtual mooring,giops_day,votemper,1.6125
9,3.10.5,virtual mooring,giops_day,vosaline,1.6138
10,3.10.5,virtual mooring,giops_day,sspeed,2.2026
11,3.10.5,virtual mooring,giops_day,magwatervel,3.1057
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,6.0442
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.9478
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,10.9096
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,13.1808
16,3.10.5,transect,giops_day,votemper,14.0553
17,3.10.5,transect,giops_day,vosaline,11.5162
18,3.10.5,transect,giops_day,sspeed,12.5581
19,3.10.5,transect,giops_day,magwatervel,11.8117
20,3.10.5,transect,riops_fc_3dps,votemper,13.5349
21,3.10.5,transect,riops_fc_3dps,vosaline,12.8885
22,3.10.5,transect,riops_fc_3dps,sspeed,14.4233
23,3.10.5,transect,riops_fc_3dps,magwatervel,15.51
24,3.10.5,hovmoller,giops_day,votemper,10.5098
25,3.10.5,hovmoller,giops_day,vosaline,11.9789
26,3.10.5,hovmoller,giops_day,sspeed,11.1358
27,3.10.5,hovmoller,giops_day,magwatervel,13.3045
28,3.10.5,hovmoller,riops_fc_3dps,votemper,15.4057
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,15.2993
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,19.617
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,19.6708
32,3.10.5,area,giops_day,votemper,4.0935
33,3.10.5,area,giops_day,vosaline,4.0231
34,3.10.5,area,giops_day,sspeed,4.1667
35,3.10.5,area,giops_day,magwatervel,4.2129
37,3.10.5,area,riops_fc_3dps,votemper,9.0802
38,3.10.5,area,riops_fc_3dps,vosaline,7.8185
39,3.10.5,area,riops_fc_3dps,sspeed,8.7052
40,3.10.5,area,riops_fc_3dps,magwatervel,8.2609
41,3.10.5,subset,giops_day,votemper,0.7624
42,3.10.5,subset,riops_fc_3dps,votemper,3.1778
0,3.10.5,profile,giops_day,votemper,1.7062
1,3.10.5,profile,giops_day,vosaline,1.7128
2,3.10.5,profile,giops_day,sspeed,1.8372
3,3.10.5,profile,giops_day,magwatervel,1.9498
4,3.10.5,profile,riops_fc_3dps,votemper,2.5105
5,3.10.5,profile,riops_fc_3dps,vosaline,2.6682
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2894
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.5677
8,3.10.5,virtual mooring,giops_day,votemper,1.6734
9,3.10.5,virtual mooring,giops_day,vosaline,1.634
10,3.10.5,virtual mooring,giops_day,sspeed,2.2021
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0912
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.1619
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.4815
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.09
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.3187
16,3.10.5,transect,giops_day,votemper,8.828
17,3.10.5,transect,giops_day,vosaline,9.0628
18,3.10.5,transect,giops_day,sspeed,8.5123
19,3.10.5,transect,giops_day,magwatervel,8.6985
20,3.10.5,transect,riops_fc_3dps,votemper,10.2334
21,3.10.5,transect,riops_fc_3dps,vosaline,10.4378
22,3.10.5,transect,riops_fc_3dps,sspeed,11.1561
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.4471
24,3.10.5,hovmoller,giops_day,votemper,6.3121
25,3.10.5,hovmoller,giops_day,vosaline,6.7594
26,3.10.5,hovmoller,giops_day,sspeed,6.8277
27,3.10.5,hovmoller,giops_day,magwatervel,7.4206
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.1701
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.2319
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.7559
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.4462
32,3.10.5,area,giops_day,votemper,4.2589
33,3.10.5,area,giops_day,vosaline,4.4631
34,3.10.5,area,giops_day,sspeed,4.3015
35,3.10.5,area,giops_day,magwatervel,4.083
37,3.10.5,area,riops_fc_3dps,votemper,8.1969
38,3.10.5,area,riops_fc_3dps,vosaline,8.2528
39,3.10.5,area,riops_fc_3dps,sspeed,8.3555
40,3.10.5,area,riops_fc_3dps,magwatervel,8.0568
41,3.10.5,subset,giops_day,votemper,0.7506
42,3.10.5,subset,riops_fc_3dps,votemper,1.7778
0,3.10.5,profile,giops_day,votemper,1.5813
1,3.10.5,profile,giops_day,vosaline,1.5816
2,3.10.5,profile,giops_day,sspeed,1.7617
3,3.10.5,profile,giops_day,magwatervel,1.9554
4,3.10.5,profile,riops_fc_3dps,votemper,2.5571
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4744
6,3.10.5,profile,riops_fc_3dps,sspeed,3.1544
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.405
8,3.10.5,virtual mooring,giops_day,votemper,1.7066
9,3.10.5,virtual mooring,giops_day,vosaline,1.5878
10,3.10.5,virtual mooring,giops_day,sspeed,2.2706
11,3.10.5,virtual mooring,giops_day,magwatervel,3.2136
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.6139
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.0963
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,9.3711
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.6924
16,3.10.5,transect,giops_day,votemper,9.5973
17,3.10.5,transect,giops_day,vosaline,8.5138
18,3.10.5,transect,giops_day,sspeed,8.7072
19,3.10.5,transect,giops_day,magwatervel,9.1834
20,3.10.5,transect,riops_fc_3dps,votemper,10.6308
21,3.10.5,transect,riops_fc_3dps,vosaline,10.3066
22,3.10.5,transect,riops_fc_3dps,sspeed,11.2768
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.6119
24,3.10.5,hovmoller,giops_day,votemper,6.304
25,3.10.5,hovmoller,giops_day,vosaline,6.4001
26,3.10.5,hovmoller,giops_day,sspeed,6.8901
27,3.10.5,hovmoller,giops_day,magwatervel,7.254
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.1566
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.8692
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,15.4959
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.8765
32,3.10.5,area,giops_day,votemper,4.495
33,3.10.5,area,giops_day,vosaline,4.2149
34,3.10.5,area,giops_day,sspeed,4.0929
35,3.10.5,area,giops_day,magwatervel,4.6518
37,3.10.5,area,riops_fc_3dps,votemper,8.2845
38,3.10.5,area,riops_fc_3dps,vosaline,8.6312
39,3.10.5,area,riops_fc_3dps,sspeed,8.918
40,3.10.5,area,riops_fc_3dps,magwatervel,7.5965
41,3.10.5,subset,giops_day,votemper,0.7164
42,3.10.5,subset,riops_fc_3dps,votemper,1.9158
0,3.10.5,profile,giops_day,votemper,1.6192
1,3.10.5,profile,giops_day,vosaline,1.6732
2,3.10.5,profile,giops_day,sspeed,1.8107
3,3.10.5,profile,giops_day,magwatervel,1.904
4,3.10.5,profile,riops_fc_3dps,votemper,2.7184
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5372
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2916
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.6214
8,3.10.5,virtual mooring,giops_day,votemper,1.7204
9,3.10.5,virtual mooring,giops_day,vosaline,1.7501
10,3.10.5,virtual mooring,giops_day,sspeed,2.3904
11,3.10.5,virtual mooring,giops_day,magwatervel,3.1383
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.9108
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.2402
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.5443
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.4076
16,3.10.5,transect,giops_day,votemper,8.8066
17,3.10.5,transect,giops_day,vosaline,8.6515
18,3.10.5,transect,giops_day,sspeed,9.5396
19,3.10.5,transect,giops_day,magwatervel,9.0571
20,3.10.5,transect,riops_fc_3dps,votemper,9.9073
21,3.10.5,transect,riops_fc_3dps,vosaline,10.0297
22,3.10.5,transect,riops_fc_3dps,sspeed,11.1182
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.5837
24,3.10.5,hovmoller,giops_day,votemper,6.164
25,3.10.5,hovmoller,giops_day,vosaline,6.1565
26,3.10.5,hovmoller,giops_day,sspeed,6.6294
27,3.10.5,hovmoller,giops_day,magwatervel,7.009
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.0362
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.5079
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.029
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,17.3815
32,3.10.5,area,giops_day,votemper,4.2334
33,3.10.5,area,giops_day,vosaline,4.0331
34,3.10.5,area,giops_day,sspeed,4.4851
35,3.10.5,area,giops_day,magwatervel,4.2368
37,3.10.5,area,riops_fc_3dps,votemper,8.0462
38,3.10.5,area,riops_fc_3dps,vosaline,8.1681
39,3.10.5,area,riops_fc_3dps,sspeed,9.3245
40,3.10.5,area,riops_fc_3dps,magwatervel,7.6148
41,3.10.5,subset,giops_day,votemper,0.8421
42,3.10.5,subset,riops_fc_3dps,votemper,2.0537
0,3.10.5,profile,giops_day,votemper,1.7134
1,3.10.5,profile,giops_day,vosaline,1.6902
2,3.10.5,profile,giops_day,sspeed,1.7941
3,3.10.5,profile,giops_day,magwatervel,1.9791
4,3.10.5,profile,riops_fc_3dps,votemper,2.5386
5,3.10.5,profile,riops_fc_3dps,vosaline,2.7248
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2312
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.4873
8,3.10.5,virtual mooring,giops_day,votemper,1.6818
9,3.10.5,virtual mooring,giops_day,vosaline,1.5993
10,3.10.5,virtual mooring,giops_day,sspeed,2.1594
11,3.10.5,virtual mooring,giops_day,magwatervel,3.3597
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.0844
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.8161
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,9.2834
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.8897
16,3.10.5,transect,giops_day,votemper,8.988
17,3.10.5,transect,giops_day,vosaline,8.8983
18,3.10.5,transect,giops_day,sspeed,8.8216
19,3.10.5,transect,giops_day,magwatervel,8.9654
20,3.10.5,transect,riops_fc_3dps,votemper,10.4028
21,3.10.5,transect,riops_fc_3dps,vosaline,10.2311
22,3.10.5,transect,riops_fc_3dps,sspeed,11.539
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.7046
24,3.10.5,hovmoller,giops_day,votemper,6.4371
25,3.10.5,hovmoller,giops_day,vosaline,6.6734
26,3.10.5,hovmoller,giops_day,sspeed,7.1869
27,3.10.5,hovmoller,giops_day,magwatervel,7.8105
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.7934
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.5166
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.1958
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,16.866
32,3.10.5,area,giops_day,votemper,4.3312
33,3.10.5,area,giops_day,vosaline,4.1351
34,3.10.5,area,giops_day,sspeed,4.1963
35,3.10.5,area,giops_day,magwatervel,4.4216
37,3.10.5,area,riops_fc_3dps,votemper,8.2149
38,3.10.5,area,riops_fc_3dps,vosaline,8.0746
39,3.10.5,area,riops_fc_3dps,sspeed,9.1964
40,3.10.5,area,riops_fc_3dps,magwatervel,7.8392
41,3.10.5,subset,giops_day,votemper,0.8735
42,3.10.5,subset,riops_fc_3dps,votemper,2.0099
0,3.10.5,profile,giops_day,votemper,1.5777
1,3.10.5,profile,giops_day,vosaline,1.6112
2,3.10.5,profile,giops_day,sspeed,1.8046
3,3.10.5,profile,giops_day,magwatervel,2.0092
4,3.10.5,profile,riops_fc_3dps,votemper,2.4788
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5618
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2872
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3349
8,3.10.5,virtual mooring,giops_day,votemper,1.6838
9,3.10.5,virtual mooring,giops_day,vosaline,1.5933
10,3.10.5,virtual mooring,giops_day,sspeed,2.2514
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0512
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.638
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.1484
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,7.5699
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,9.868
16,3.10.5,transect,giops_day,votemper,8.6599
17,3.10.5,transect,giops_day,vosaline,8.6711
18,3.10.5,transect,giops_day,sspeed,8.534
19,3.10.5,transect,giops_day,magwatervel,8.8651
20,3.10.5,transect,riops_fc_3dps,votemper,9.9556
21,3.10.5,transect,riops_fc_3dps,vosaline,9.999
22,3.10.5,transect,riops_fc_3dps,sspeed,11.6844
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.3429
24,3.10.5,hovmoller,giops_day,votemper,6.1199
25,3.10.5,hovmoller,giops_day,vosaline,6.4538
26,3.10.5,hovmoller,giops_day,sspeed,7.6107
27,3.10.5,hovmoller,giops_day,magwatervel,7.4967
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.64
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.7294
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,13.7216
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.9965
32,3.10.5,area,giops_day,votemper,4.1337
33,3.10.5,area,giops_day,vosaline,4.0154
34,3.10.5,area,giops_day,sspeed,4.3044
35,3.10.5,area,giops_day,magwatervel,4.1374
37,3.10.5,area,riops_fc_3dps,votemper,8.5131
38,3.10.5,area,riops_fc_3dps,vosaline,8.1893
39,3.10.5,area,riops_fc_3dps,sspeed,8.8561
40,3.10.5,area,riops_fc_3dps,magwatervel,7.6523
41,3.10.5,subset,giops_day,votemper,0.682
42,3.10.5,subset,riops_fc_3dps,votemper,1.9329
0,3.10.5,profile,giops_day,votemper,1.5396
1,3.10.5,profile,giops_day,vosaline,1.5601
2,3.10.5,profile,giops_day,sspeed,1.8001
3,3.10.5,profile,giops_day,magwatervel,2.0108
4,3.10.5,profile,riops_fc_3dps,votemper,2.4967
5,3.10.5,profile,riops_fc_3dps,vosaline,2.6377
6,3.10.5,profile,riops_fc_3dps,sspeed,3.3079
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.4275
8,3.10.5,virtual mooring,giops_day,votemper,1.6273
9,3.10.5,virtual mooring,giops_day,vosaline,1.6052
10,3.10.5,virtual mooring,giops_day,sspeed,2.1564
11,3.10.5,virtual mooring,giops_day,magwatervel,3.5781
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.1267
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.3202
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.6333
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,10.0075
16,3.10.5,transect,giops_day,votemper,8.8363
17,3.10.5,transect,giops_day,vosaline,8.3535
18,3.10.5,transect,giops_day,sspeed,8.862
19,3.10.5,transect,giops_day,magwatervel,8.7758
20,3.10.5,transect,riops_fc_3dps,votemper,10.6336
21,3.10.5,transect,riops_fc_3dps,vosaline,10.1116
22,3.10.5,transect,riops_fc_3dps,sspeed,11.4519
23,3.10.5,transect,riops_fc_3dps,magwatervel,12.2342
24,3.10.5,hovmoller,giops_day,votemper,7.0323
25,3.10.5,hovmoller,giops_day,vosaline,6.6099
26,3.10.5,hovmoller,giops_day,sspeed,6.8114
27,3.10.5,hovmoller,giops_day,magwatervel,7.3532
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.3111
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.0233
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.3472
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,18.0375
32,3.10.5,area,giops_day,votemper,4.8921
33,3.10.5,area,giops_day,vosaline,4.1665
34,3.10.5,area,giops_day,sspeed,4.3047
35,3.10.5,area,giops_day,magwatervel,4.0331
37,3.10.5,area,riops_fc_3dps,votemper,8.0419
38,3.10.5,area,riops_fc_3dps,vosaline,7.7942
39,3.10.5,area,riops_fc_3dps,sspeed,8.6388
40,3.10.5,area,riops_fc_3dps,magwatervel,7.9596
41,3.10.5,subset,giops_day,votemper,0.7771
42,3.10.5,subset,riops_fc_3dps,votemper,1.8442
0,3.10.5,profile,giops_day,votemper,1.6194
1,3.10.5,profile,giops_day,vosaline,1.6892
2,3.10.5,profile,giops_day,sspeed,1.8517
3,3.10.5,profile,giops_day,magwatervel,1.9404
4,3.10.5,profile,riops_fc_3dps,votemper,2.5063
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5817
6,3.10.5,profile,riops_fc_3dps,sspeed,3.669
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3494
8,3.10.5,virtual mooring,giops_day,votemper,1.8334
9,3.10.5,virtual mooring,giops_day,vosaline,1.6691
10,3.10.5,virtual mooring,giops_day,sspeed,2.2511
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0056
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.063
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.405
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,9.4562
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.5009
16,3.10.5,transect,giops_day,votemper,9.0898
17,3.10.5,transect,giops_day,vosaline,8.7256
18,3.10.5,transect,giops_day,sspeed,8.8881
19,3.10.5,transect,giops_day,magwatervel,8.7109
20,3.10.5,transect,riops_fc_3dps,votemper,10.1312
21,3.10.5,transect,riops_fc_3dps,vosaline,10.3348
22,3.10.5,transect,riops_fc_3dps,sspeed,11.585
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.8231
24,3.10.5,hovmoller,giops_day,votemper,7.0229
25,3.10.5,hovmoller,giops_day,vosaline,6.6043
26,3.10.5,hovmoller,giops_day,sspeed,7.2102
27,3.10.5,hovmoller,giops_day,magwatervel,7.5305
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.7737
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.8268
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.3893
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,18.2598
32,3.10.5,area,giops_day,votemper,4.4242
33,3.10.5,area,giops_day,vosaline,4.5284
34,3.10.5,area,giops_day,sspeed,4.4559
35,3.10.5,area,giops_day,magwatervel,4.2654
37,3.10.5,area,riops_fc_3dps,votemper,8.1922
38,3.10.5,area,riops_fc_3dps,vosaline,8.532
39,3.10.5,area,riops_fc_3dps,sspeed,9.6547
40,3.10.5,area,riops_fc_3dps,magwatervel,8.1381
41,3.10.5,subset,giops_day,votemper,0.7108
42,3.10.5,subset,riops_fc_3dps,votemper,1.974
0,3.10.5,profile,giops_day,votemper,1.6727
1,3.10.5,profile,giops_day,vosaline,1.6281
2,3.10.5,profile,giops_day,sspeed,1.704
3,3.10.5,profile,giops_day,magwatervel,1.8255
4,3.10.5,profile,riops_fc_3dps,votemper,3.074
5,3.10.5,profile,riops_fc_3dps,vosaline,2.8513
6,3.10.5,profile,riops_fc_3dps,sspeed,3.5034
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.7364
8,3.10.5,virtual mooring,giops_day,votemper,1.821
9,3.10.5,virtual mooring,giops_day,vosaline,1.6647
10,3.10.5,virtual mooring,giops_day,sspeed,2.2774
11,3.10.5,virtual mooring,giops_day,magwatervel,2.9641
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.4727
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.6112
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.5711
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.3903
16,3.10.5,transect,giops_day,votemper,12.5123
17,3.10.5,transect,giops_day,vosaline,10.8137
18,3.10.5,transect,giops_day,sspeed,11.4068
19,3.10.5,transect,giops_day,magwatervel,11.4217
20,3.10.5,transect,riops_fc_3dps,votemper,13.3811
21,3.10.5,transect,riops_fc_3dps,vosaline,12.6507
22,3.10.5,transect,riops_fc_3dps,sspeed,14.8814
23,3.10.5,transect,riops_fc_3dps,magwatervel,16.2339
24,3.10.5,hovmoller,giops_day,votemper,11.2824
25,3.10.5,hovmoller,giops_day,vosaline,9.1087
26,3.10.5,hovmoller,giops_day,sspeed,9.7334
27,3.10.5,hovmoller,giops_day,magwatervel,9.6285
28,3.10.5,hovmoller,riops_fc_3dps,votemper,13.5264
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,13.5959
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,20.3568
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,19.6549
32,3.10.5,area,giops_day,votemper,4.1465
33,3.10.5,area,giops_day,vosaline,4.1131
34,3.10.5,area,giops_day,sspeed,3.9494
35,3.10.5,area,giops_day,magwatervel,3.9739
37,3.10.5,area,riops_fc_3dps,votemper,8.9206
38,3.10.5,area,riops_fc_3dps,vosaline,10.0783
39,3.10.5,area,riops_fc_3dps,sspeed,9.4671
40,3.10.5,area,riops_fc_3dps,magwatervel,8.9674
41,3.10.5,subset,giops_day,votemper,0.7263
42,3.10.5,subset,riops_fc_3dps,votemper,2.2175
0,3.10.5,profile,giops_day,votemper,1.6563
1,3.10.5,profile,giops_day,vosaline,1.5774
2,3.10.5,profile,giops_day,sspeed,1.7348
3,3.10.5,profile,giops_day,magwatervel,1.9097
4,3.10.5,profile,riops_fc_3dps,votemper,2.4585
5,3.10.5,profile,riops_fc_3dps,vosaline,2.5048
6,3.10.5,profile,riops_fc_3dps,sspeed,3.1277
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.414
8,3.10.5,virtual mooring,giops_day,votemper,1.6154
9,3.10.5,virtual mooring,giops_day,vosaline,1.6188
10,3.10.5,virtual mooring,giops_day,sspeed,2.1328
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0287
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.577
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,5.221
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.2457
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,13.1433
16,3.10.5,transect,giops_day,votemper,9.0324
17,3.10.5,transect,giops_day,vosaline,8.6671
18,3.10.5,transect,giops_day,sspeed,8.562
19,3.10.5,transect,giops_day,magwatervel,8.7849
20,3.10.5,transect,riops_fc_3dps,votemper,9.7333
21,3.10.5,transect,riops_fc_3dps,vosaline,9.8849
22,3.10.5,transect,riops_fc_3dps,sspeed,11.8327
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.6031
24,3.10.5,hovmoller,giops_day,votemper,6.3493
25,3.10.5,hovmoller,giops_day,vosaline,7.4254
26,3.10.5,hovmoller,giops_day,sspeed,6.5882
27,3.10.5,hovmoller,giops_day,magwatervel,7.1498
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.1483
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.3533
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,13.9894
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,17.588
32,3.10.5,area,giops_day,votemper,4.5429
33,3.10.5,area,giops_day,vosaline,4.145
34,3.10.5,area,giops_day,sspeed,4.2402
35,3.10.5,area,giops_day,magwatervel,4.223
37,3.10.5,area,riops_fc_3dps,votemper,8.4134
38,3.10.5,area,riops_fc_3dps,vosaline,8.2624
39,3.10.5,area,riops_fc_3dps,sspeed,8.6059
40,3.10.5,area,riops_fc_3dps,magwatervel,7.9019
41,3.10.5,subset,giops_day,votemper,0.7276
42,3.10.5,subset,riops_fc_3dps,votemper,2.1683
0,3.10.5,profile,giops_day,votemper,1.7255
1,3.10.5,profile,giops_day,vosaline,1.6716
2,3.10.5,profile,giops_day,sspeed,1.8107
3,3.10.5,profile,giops_day,magwatervel,1.905
4,3.10.5,profile,riops_fc_3dps,votemper,2.5888
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4452
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2718
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.6093
8,3.10.5,virtual mooring,giops_day,votemper,1.6806
9,3.10.5,virtual mooring,giops_day,vosaline,1.6863
10,3.10.5,virtual mooring,giops_day,sspeed,2.4622
11,3.10.5,virtual mooring,giops_day,magwatervel,3.133
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.8039
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.4291
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.3837
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,10.8814
16,3.10.5,transect,giops_day,votemper,12.3345
17,3.10.5,transect,giops_day,vosaline,10.5528
18,3.10.5,transect,giops_day,sspeed,9.6605
19,3.10.5,transect,giops_day,magwatervel,9.3542
20,3.10.5,transect,riops_fc_3dps,votemper,10.0178
21,3.10.5,transect,riops_fc_3dps,vosaline,10.5207
22,3.10.5,transect,riops_fc_3dps,sspeed,11.6884
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.8932
24,3.10.5,hovmoller,giops_day,votemper,6.522
25,3.10.5,hovmoller,giops_day,vosaline,6.536
26,3.10.5,hovmoller,giops_day,sspeed,6.9015
27,3.10.5,hovmoller,giops_day,magwatervel,7.7317
28,3.10.5,hovmoller,riops_fc_3dps,votemper,11.4913
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.815
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.1735
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,18.4379
32,3.10.5,area,giops_day,votemper,4.3661
33,3.10.5,area,giops_day,vosaline,4.1452
34,3.10.5,area,giops_day,sspeed,4.1499
35,3.10.5,area,giops_day,magwatervel,4.2167
37,3.10.5,area,riops_fc_3dps,votemper,8.1467
38,3.10.5,area,riops_fc_3dps,vosaline,8.0957
39,3.10.5,area,riops_fc_3dps,sspeed,8.5577
40,3.10.5,area,riops_fc_3dps,magwatervel,7.6949
41,3.10.5,subset,giops_day,votemper,0.802
