,Version,Test,Dataset,Variable,Response Time (s)
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.0026
24,3.10.5,hovmoller,giops_day,votemper,6.4473
25,3.10.5,hovmoller,giops_day,vosaline,6.261
26,3.10.5,hovmoller,giops_day,sspeed,6.821
27,3.10.5,hovmoller,giops_day,magwatervel,8.0308
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.9986
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.0547
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,13.7789
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.2247
32,3.10.5,area,giops_day,votemper,4.5085
33,3.10.5,area,giops_day,vosaline,4.4852
34,3.10.5,area,giops_day,sspeed,4.2457
35,3.10.5,area,giops_day,magwatervel,4.0549
37,3.10.5,area,riops_fc_3dps,votemper,8.3663
38,3.10.5,area,riops_fc_3dps,vosaline,8.3983
39,3.10.5,area,riops_fc_3dps,sspeed,8.9059
40,3.10.5,area,riops_fc_3dps,magwatervel,7.4623
41,3.10.5,subset,giops_day,votemper,0.704
42,3.10.5,subset,riops_fc_3dps,votemper,1.8618
0,3.10.5,profile,giops_day,votemper,1.708
1,3.10.5,profile,giops_day,vosaline,1.74
2,3.10.5,profile,giops_day,sspeed,1.7815
3,3.10.5,profile,giops_day,magwatervel,1.959
4,3.10.5,profile,riops_fc_3dps,votemper,2.6416
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4713
6,3.10.5,profile,riops_fc_3dps,sspeed,3.3114
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3952
8,3.10.5,virtual mooring,giops_day,votemper,2.3104
9,3.10.5,virtual mooring,giops_day,vosaline,1.6472
10,3.10.5,virtual mooring,giops_day,sspeed,2.2744
11,3.10.5,virtual mooring,giops_day,magwatervel,3.1691
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.8474
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,5.6846
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.3614
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.2078
16,3.10.5,transect,giops_day,votemper,8.8085
17,3.10.5,transect,giops_day,vosaline,8.7327
18,3.10.5,transect,giops_day,sspeed,8.5709
19,3.10.5,transect,giops_day,magwatervel,8.8972
20,3.10.5,transect,riops_fc_3dps,votemper,10.1558
21,3.10.5,transect,riops_fc_3dps,vosaline,9.9455
22,3.10.5,transect,riops_fc_3dps,sspeed,11.2493
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.792
24,3.10.5,hovmoller,giops_day,votemper,6.4047
25,3.10.5,hovmoller,giops_day,vosaline,6.2887
26,3.10.5,hovmoller,giops_day,sspeed,7.2482
27,3.10.5,hovmoller,giops_day,magwatervel,7.3044
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.6513
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.2352
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.1947
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.4881
32,3.10.5,area,giops_day,votemper,4.5691
33,3.10.5,area,giops_day,vosaline,4.3249
34,3.10.5,area,giops_day,sspeed,4.4282
35,3.10.5,area,giops_day,magwatervel,4.3625
37,3.10.5,area,riops_fc_3dps,votemper,7.7093
38,3.10.5,area,riops_fc_3dps,vosaline,8.5407
39,3.10.5,area,riops_fc_3dps,sspeed,8.5052
40,3.10.5,area,riops_fc_3dps,magwatervel,7.7281
41,3.10.5,subset,giops_day,votemper,0.7713
42,3.10.5,subset,riops_fc_3dps,votemper,1.8805
0,3.10.5,profile,giops_day,votemper,1.5972
1,3.10.5,profile,giops_day,vosaline,1.6423
2,3.10.5,profile,giops_day,sspeed,1.7443
3,3.10.5,profile,giops_day,magwatervel,1.8823
4,3.10.5,profile,riops_fc_3dps,votemper,2.5412
5,3.10.5,profile,riops_fc_3dps,vosaline,2.615
6,3.10.5,profile,riops_fc_3dps,sspeed,3.1279
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.9434
8,3.10.5,virtual mooring,giops_day,votemper,1.6197
9,3.10.5,virtual mooring,giops_day,vosaline,1.8709
10,3.10.5,virtual mooring,giops_day,sspeed,2.1743
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0409
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.3641
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,5.2196
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.3428
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,10.5804
16,3.10.5,transect,giops_day,votemper,8.7129
17,3.10.5,transect,giops_day,vosaline,8.4578
18,3.10.5,transect,giops_day,sspeed,8.533
19,3.10.5,transect,giops_day,magwatervel,8.721
